Sl, ROLL NO. ,HU101,PH101,M101,ME101,ES101,PH191,ES191,ME192,HU181,XC181, SGPA 
92, 10900113093 ,A,A,A,B,B,A,A,O,E,A,7.96
93, 10900113094 ,A,B,B,C,C,B,E,E,A,A,7.22
94, 10900113095 ,B,C,C,D,D,E,A,E,A,A,6.63
95, 10900113096 ,B,A,D,C,D,B,O,E,E,O,7.04
96, 10900113097 ,A,D,D,F,D,A,A,A,E,A,5.81
97, 10900113098 ,E,B,F,D,C,B,A,A,O,O,6.37
98, 10900113099 ,B,C,C,B,C,E,E,A,A,E,7.07
99, 10900113100 ,B,A,E,A,A,B,O,E,A,E,8.30
100, 10900113101 ,A,A,A,B,A,A,E,E,O,O,8.19
101, 10900113102 ,A,A,A,B,B,E,E,O,O,E,8.19
102, 10900113103 ,A,C,C,C,C,E,E,B,E,A,6.89
103, 10900113104 ,B,C,B,F,C,B,A,D,A,B,5.85
104, 10900113105 ,A,B,A,C,C,B,E,B,A,A,7.15
105, 10900113106 ,A,C,B,D,C,E,A,E,E,C,6.96
106, 10900113107 ,D,F,D,F,D,B,A,C,B,F,4.56
107, 10900113108 ,A,A,E,A,A,E,E,E,O,E,8.52
108, 10900113109 ,C,C,A,C,C,A,E,B,E,A,6.96
109, 10900113110 ,B,E,A,A,B,A,E,E,E,E,8.19
110, 10900113111 ,E,E,E,B,A,E,E,E,E,E,8.56
111, 10900113112 ,B,B,B,B,C,A,E,A,E,B,7.26
112, 10900113113 ,C,A,E,C,B,B,A,A,A,F,7.26
113, 10900113114 ,C,C,A,C,C,A,E,E,O,C,7.15
114, 10900113115 ,C,C,C,F,D,B,A,C,B,D,5.48
115, 10900113116 ,C,C,B,B,C,B,A,B,O,E,6.89
116, 10900113117 ,C,C,A,B,C,B,E,E,E,C,7.19
